system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
00000000000000000042_0,11355,244.5351003,2459.9382,23785.943,129153,485,56.039825,14.03567,PSA0116-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,11936,255.3824321,2740.2136,24805.975,22758,209.5,57.674076,10.131903,PSA0006-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,11058,260.3501249,2655.5579,24516.783,47501,111.5,58.7089,18.261322,PSA0061-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,11058,260.3501249,2655.5579,24516.783,47501,111.5,58.7089,18.261322,PSA0165-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,10554,261.5167123,2621.742,24397.04,67880,96,57.74881,16.992674,PSA0152-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,10656,262.5164329,2557.5503,24162.008,109947,76,57.449257,17.142416,PSA0010-2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,9286,261.6325901,2446.7754,23732.98,589227,100.5,55.874798,14,RefForest1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,11730,261.3665603,2656.1677,24519.111,89492,95,59.30413,11.811323,PSA0341-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,10683,255.5498575,2527.8206,24050.053,61379,195,58.277546,9.926547,PSA0027-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,12739,253.36741,2579.7283,24244.088,67643,262.5,57.65022,11.665117,PSA0001-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,12233,258.3504279,2471.5325,23831.186,72613,126,58.05175,10.181709,PSA0003-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,11797,260.4660145,2375.735,23441.385,80679,105.5,58.196114,16.504839,PSA0132-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,11934,245.5999869,2575.8037,24229.592,37377,411,57.487667,6.9267755,PSA0161-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,11828,260.4676881,2506.615,23968.586,80323,124,58.952206,8.485965,PSA0123-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,10301,263.5331475,2339.899,23289.229,221062,39,59.649906,14.104322,PSA0194-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,10210,264.5167146,2292.2915,23082.033,155223,18,59.214622,15.158836,RefForest4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,9850,264.5331475,2348.595,23326.592,80299,24,58.337826,21.248772,PSA0151-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,9738,261.467132,2226.2754,22783.477,86483,151,59.990334,17.282925,PSA0429-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,10002,257.4835726,2318.298,23196.035,47662,194,59.702915,15.886535,PSA0373-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,11481,240.8328704,2375.547,23440.795,115954,554,56.448486,15.437986,PSA0287-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,11109,250.5167147,2312.5686,23170.734,37861,349.5,55.988888,17.93314,PSA0374-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,11310,250.4997233,2335.5244,23270.531,65170,360,56.06195,15.962758,PSA0087-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,11854,236.402239,2398.8225,23537.523,56181,612.5,54.414906,18.90254,PSA0350-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,11802,248.2830043,2385.822,23483.508,68206,379.5,56.349957,13.150076,PSA0285-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,11347,245.4158784,2394.2822,23518.676,70796,432.5,56.47468,15.489172,PSA0400-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,10957,247.4991699,2367.0085,23404.475,69011,414,57.109707,10.618157,PSA0351-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
